Samples,ID,Species,Species_ID,Location_collected,Depth_code_2lev,Type,type_depth,Class,Order
Srub_Ros3,Srub_Ros3,Stelleta grubii,Stelleta_grubii_795,North Atlantic,shallow,hma,hma_shallow,Demospongiae,Tetractinellida
Pjoh_Ros4,Pjoh_Ros4,Pachymatisma johnstonia,Pachymatisma_johnstonia_796,North Atlantic,shallow,hma,hma_shallow,Demospongiae,Tetractinellida
ODA18_63,ODA18_63,Geodia sp.3,Geodia_sp.3_806,South Atlantic,deep,hma,hma_deep,Demospongiae,Tetractinellida
ODA18_206,ODA18_206,Astrophorida sp.2,Astrophorida_sp.2_807,South Atlantic,deep,hma,hma_deep,Demospongiae,Tetractinellida
Ast1_43611,Ast1_43611,Astrophorida sp.1,Astrophorida_sp.1_816,Pacific,deep,hma,hma_deep,Demospongiae,Tetractinellida
Calt_43616,Calt_43616,Stelletta,Stelletta_817,Pacific,deep,hma,hma_deep,Demospongiae,Tetractinellida
Geodia_43648,Geodia_43648,Geodia sp.1,Geodia_sp.1_818,Pacific,deep,hma,hma_deep,Demospongiae,Tetractinellida
Geo1_43667,Geo1_43667,Rhabdastrella sp.,Rhabdastrella_sp._819,Pacific,deep,hma,hma_deep,Demospongiae,Tetractinellida
Geo4_43668,Geo4_43668,Caminus sp.,Caminus_sp._820,Pacific,deep,hma,hma_deep,Demospongiae,Tetractinellida
Geo6_43650,Geo6_43650,Geodia sp.2,Geodia_sp.2_821,Pacific,deep,hma,hma_deep,Demospongiae,Tetractinellida
Pcra_DR3_31,Pcra_DR3_31,Petrosia crassa,Petrosia_crassa_822,North Atlantic,deep,hma,hma_deep,Demospongiae,Haplosclerida
Xfri_592,Xfri_592,Xestospongia friabilis,Xestospongia_friabilis_823,North Atlantic,deep,hma,hma_deep,Demospongiae,Haplosclerida
Xfri_BT6_646,Xfri_BT6_646,Xestospongia friabilis,Xestospongia_friabilis_824,North Atlantic,deep,hma,hma_deep,Demospongiae,Haplosclerida
ICB20_DR10_707,ICB20_DR10_707,Thymosia guernei,Thymosia_guernei_825,North Atlantic,deep,hma,hma_deep,Demospongiae,Chondrillida
ICB20_DR8_586,ICB20_DR8_586,Petrosia crassa,Petrosia_crassa_826,North Atlantic,deep,hma,hma_deep,Demospongiae,Haplosclerida
ICB20_DR8_585,ICB20_DR8_585,Petrosia crassa,Petrosia_crassa_827,North Atlantic,deep,hma,hma_deep,Demospongiae,Haplosclerida
ICB20_DR3_175,ICB20_DR3_175,Thymosia guernei,Thymosia_guernei_828,North Atlantic,deep,hma,hma_deep,Demospongiae,Chondrillida
